ID,rep1,rep2,rep3,rep4
GPBP1,16.3204209,18.04134453,14.11714104,17.61053619
PAPPA,3492.500917,3491.720696,226.9981649,3274.825813
KSR2,3538.620404,2390.958891,1145.800964,6528.838755
Tgfb3,10.47425342,9.987134866,9.10703892,9.459183583
Mbd5,0.159096591,0.125134301,0.133259163,0.148811703
Wsb1,20.21751496,21.7874821,20.13260957,19.62242011
Tmem8b,0.515519426,0.529908073,0.65648567,1.042273588
FLRT3,0.339324741,0.422237561,0.899488993,0.547253845
VWC2L,1.577687872,6.636489051,0.727776895,0.76278577
Mapk6,6.317906494,4.733881012,5.437872678,5.632847218
Lrrtm1,1.355367436,1.904633356,2.240779455,2.132615943
Sema3a,4.782715874,7.120869297,7.837593565,7.292490198
Ppp1r10,3.36692595,4.120737001,3.080049755,4.02656545
Zfp608,3.710464674,4.298931797,0.947331755,1.058904623
Plag1,2.624198235,4.1389592,4.288152275,4.251726818
TAOK2,60.8326288,96.28435125,60.16267115,104.7853857
NYAP2,1.35695789,0.873848222,1.080635815,0.947002858
Unc79,10.87553948,16.35627563,18.49258009,21.41890988
Gpr85,3.444786062,3.001225553,4.579076515,3.537187058
Car10,1.865990445,2.673745676,4.825755058,5.436408135
Rorb,2.046603614,2.583148474,3.16903714,2.814026163
Il1rapl1,0.385279176,0.493912689,0.502208458,0.66013423
NOL4,2.118638448,3.459293792,3.567772168,3.540774445
MGAT4C,0.72090532,0.918456188,0.583989348,0.797269998
ACVR2A,108.5785436,151.8757311,138.198651,180.5756305
Bdnf,0.876955122,1.381739334,2.688650955,1.921175393
Ppp2r5e,37.17209802,42.36009739,42.526105,42.92130423
Ahdc1,0.670731062,0.502452028,0.709239835,0.673453765
Pcdh10,0.462665618,0.56012248,1.035143765,1.027620373
Gpm6a,1.446747585,0.68683034,0.729662948,0.827166418
Helt,7.628432221,7.308112564,9.503878748,9.838268485
Nacc2,1.330352361,1.929813288,2.037913808,2.37203206
D830031N03Rik,1.134526419,61.66973333,2.41919804,2.468016108
Ndp,2.699896092,2.385572955,2.16312975,3.437202248
Eif5,31.20645726,43.34243579,37.914832,51.92442593
Dlg1,0.37344879,0.500742445,0.47959034,0.677080933
R3hdm1,0.574144837,0.555171088,0.91723147,0.907714353
Plekha7,0.443430326,0.992715489,0.446120028,0.445935708
Cxxc4,1.250147845,2.358106946,0.691218698,0.703666433
EN1,1.719085253,1.909889607,2.030331738,2.347180485
Tsga10,0.339308616,0.634997783,0.354996098,0.422284898
Zc3h6,2.362626532,2.801598926,3.325749775,4.513353475
RUNX2,553.2691486,779.522939,586.901521,960.5653488
Pcdh7,17.30300418,15.99822773,12.46674075,19.00190543
Mecom,0.569915112,0.708762502,1.0405489,1.218592263
Pcdh9,0.505636145,0.51301797,0.847019818,1.040782935
B3galt2,0.292590151,0.249549523,0.29000444,0.326648243
NFIB,1.380952381,1.281249121,1.433624035,1.915676438
Zfhx4,0.226673466,0.309112181,0.347251763,0.324672553
Trim66,2.22289825,6.001255863,1.683454893,2.013288673
Zbtb38,1.08556181,1.811048019,1.799178853,1.792434968
Tulp4,0.237105797,0.327841843,0.48821644,0.424944578
Sgcz,0.548956013,0.459293571,66.33383665,64.03376098
Grin2b,0.694135896,1.008822205,1.106057348,1.293757725
Bhlhe22,3.60100573,4.164668712,5.121783803,5.252948748
RNF10,1.171746962,1.614912206,1.83251272,2.000653078
Ube3a,4.581000475,5.2197483,5.58140694,5.49928743
TLE4,9.033890526,15.76934071,15.21739131,11.55110671
Fam214b,2.251430945,5.624328553,1.928804763,1.84527195
Asxl3,0.269320439,0.316774765,0.418802583,0.390024433
Hr,7.082351465,7.491882369,7.484896765,8.303034018
Fgf14,0.522866404,0.498922733,0.67572553,0.690088448
Rbms3,2.006322506,2.170131429,1.69411816,1.90055999
Brinp1,2.794773137,2.972568688,3.232943475,3.664108623
Rbm10,233.3590225,202.2369061,45.57350933,238.0149973
E2f3,9.048535454,11.71835147,10.18215062,19.89540141
Igf2,0.667794978,0.592258377,1.240681213,1.106438983
Kcnh5,9.683739597,12.98207449,11.65375159,13.97756899
Rarg,0.72709394,0.636843922,1.255154278,0.926069345
Zfp532,0.225014098,0.203152727,0.251426245,0.266173028
NDST4,3.383693531,3.435001627,0.455460088,0.363434188
FIGN,1.70526613,2.875708158,2.1640334,1.675643668
Marcks,3.540271762,4.958101608,6.129914208,4.992546908
Nipbl,8.510790952,9.462799178,11.15417178,10.45581989
Trp63,24.48678718,86.15902377,2.305508003,1.708537015
Sema6a,1.274778386,2.133053961,0.871477925,0.901893428
Mef2c,1.871918704,1.779971201,0.633513723,0.60140155
STOX2,1712.345473,2380.949632,4414.16002,10589.13847
SYTL2,2.395972391,2.750451948,2.407449218,2.874046278
GPR21,1.05224593,1.280052955,0.838370455,1.036240913
Filip1,2.753812214,3.212889619,4.35782893,4.59285622
Med26,89.38551747,135.8372435,113.3354002,150.9395486
Edn1,9.104786357,11.8090644,16.49871351,15.89067242
Foxp2,1.024581761,1.323575086,0.379742463,0.408483713
Neurod6,1.313101942,2.014109764,0.845017245,0.807807393
Grhl2,0.687330485,0.630798796,0.730227683,1.375727835
GABRA1,37.21186046,42.95503576,34.58382015,44.34961103
LRR4C,0.345306194,0.332018485,0.578270698,0.81544937
Nfia,16.38406964,12.36082172,14.41623845,14.95342641
Nrep,4.381599396,3.779725293,3.6079729,4.477796843
Ebf2,5.425653378,5.652585805,2.87357532,3.501140393
Slc5a3,1.699594212,1.591015935,1.3584597,1.16654691
Fgf10,1.808399412,2.84186865,1.112355148,1.128912025
Gm8300,0.982053696,1.131215141,0.785878333,0.760280718
Klf7,4.266858706,4.664815593,2.269631088,1.404038903
Amd1,0.39158903,0.362100763,0.488602683,0.409792138
HCV,12.30452842,9.542420526,11.39392459,9.02584135
Ddx17,9.48217227,8.762232618,9.42458059,7.188766263
Arhgef9,0.345786563,0.275150094,0.339196878,0.235268228
Nfe2l1,0.532372187,0.411501871,0.792695415,0.53859444
Wdtc1,4.100199577,4.103033637,2.148346585,1.457307085
Tek,2.319045395,2.102873104,2.602467255,2.252933745
Zeb2,15.92431509,16.72141114,18.53971904,16.47289907
Amd2/1,0.252309851,0.181145342,0.412586448,0.33079624
Fezf2,1.782339978,1.542190375,2.534754335,1.74128081
RTKN,4985.476536,1768.920784,642.6412053,4205.502375
NCAM1,3249.073828,1390.872018,874.643294,1534.471668
AZIN1,2540.151394,1737.993519,1618.697881,1746.291748
RNF220,1432.910694,1178.230952,3836.609978,1278.978763
Cntn4,0.839278646,0.716401803,0.885250198,0.817319265
Trib2,9.497080032,1.390378231,10.75267169,7.52749651
Sox6,0.169465253,0.121949742,0.283995813,0.180778175
ELAVL4,0.279157038,0.248512849,1.917694285,1.280482233
Col5a2,63.41173022,58.81893426,17.26275959,11.95065989
Ube4b,2651.151387,1613.54118,2523.07538,1796.752364
Map2k6,0.360617199,0.360956793,0.17190907,0.284808325
KCNA4,1697.668777,1279.010506,5398.176523,4355.016718
Fgf7,7.021363629,4.700920088,0.804778828,0.715838065
Grik2,5.078225782,5.037162109,6.277551718,5.332117143
Adamts6,0.143992291,0.140964376,0.17417372,0.114254228
Emx2,1.47571779,1.644549845,2.990028613,1.677150605
Nfat5,1.116421152,0.689354919,1.278385765,0.91241453
Gpc6,21.48789437,13.66273822,17.48221276,10.27546144
Nkx2-1,0.686379891,1.385568285,1.083135535,0.50755282
Lpar4,0.223253523,0.237161588,0.245338755,0.203451403
Nr1d1,0.344840752,0.35712783,2.033972328,1.89499899
Ralyl,6.690777104,5.812680608,6.269024445,0.43165157
Cryab,18.54916822,20.23989498,21.2925966,14.25171741
Zic5,3.382111929,3.826429951,4.03284266,0.235599628
Qrich1,1.340011277,1.65424301,2.695176003,1.806745955
Ube4b,93.15922831,104.3507213,105.3735468,82.09283358
Elavl4,2.667201476,2.317920856,2.935895725,2.36188481
Ikzf2,1.303388065,1.103126933,1.39840617,1.017067733
Fam19a1,0.886122698,0.780019593,1.709615178,1.472714015
Asxl2,40.67951942,41.84458169,39.10530338,0.233987843
Synpr,0.619753639,0.466188027,0.854836308,0.54030865
Slc22a17,0.781219104,0.781174488,1.009794013,0.65011631
Elmsan1,2.777788889,14.86952748,36.83739763,35.33122023
Ehbp1,0.497628549,0.498087723,0.552726418,0.524182165
Slc25a14,123.2082241,87.81877098,94.5653133,77.6302672
SYNPR,0.625580194,1.300358889,0.820635933,0.513991855
Ntng1,1.04392296,1.349660645,1.263014108,1.00070813
Hipk3,6.315058366,5.202034674,6.942463905,4.658300813
Chrdl1,16.12509639,14.08344447,17.74396555,12.18517773
Sox2,1.731971034,1.49011801,1.994349868,1.666757303
N4bp2,0.251143979,0.220033741,0.190303678,0.16920035
Ptprg,4.811661757,4.491134358,5.208042978,4.37476335
SPTB,8670.410386,1605.120693,428.189349,686.474877
MYT1,3706.555665,1.449846028,982.9847093,1163.914185
Hivep3,0.167925428,0.146009319,0.224394543,0.173984343
Gabrg2,0.319443354,0.325499713,0.448904625,0.3160662
Tjap1,5.370837412,4.268052955,6.698468345,5.000565953
Pdzrn4,5.347910717,3.2578048,4.876757215,3.304587765
Dicer1,1.764366278,1.400385103,1.435463158,1.300062575
Trpm7,16.80791375,13.77241224,12.12261641,9.719421735
Lhx1,3.258418688,2.574186112,5.137988163,0.454542275
Hhip,1.286031294,0.934592903,1.87992018,0.274722255
Dlg2,1.285838251,1.058096431,2.041505225,1.410136585
Dcc,1.5846217,1.267548625,2.196740398,1.645640598
Magi1,2.082968515,1.830398505,2.56155642,0.206895125
Phactr1,3.837271116,2.609137625,5.35165768,4.20379389
EED,890.3471634,646.4603147,5329.877203,4636.890628
RBBP6,2054.525907,1734.894805,2205.067544,751.8902965
HEXIM1,2306.275898,1160.359265,687.698318,694.9060105
PTMS,1453.953452,829.1080945,670.425782,880.552627
AUTS2,2713.279654,1621.23142,819.0095868,1549.508386
SETD1B,2263.861622,1616.279198,1054.009825,2530.361483
PURA,1534.154419,1391.509012,962.1609778,4520.672715
ZAFP503,3791.248759,2005.942365,11452.99715,10203.81011
Nlk,5.800588044,5.551745636,0.666032975,0.28943743
Jmjd1c,2.97006872,3.216261101,0.920518555,0.809783318
D830031N03Rik,2.66340959,2.483581347,2.563861115,1.935192673
Runx1,1.724269414,1.624102597,2.41284488,1.86784441
Srsf11,0.733533261,0.638019149,0.257796303,0.17998393
Zfp462,11.50517582,9.33068566,10.62312972,8.159338215
Slc12a5,64.90196654,58.82241143,56.89758465,37.28464838
Smarca2,0.436830382,0.415789839,0.543437683,0.460625108
Taok1,5.837929491,3.502195237,6.378733788,2.851234223
Ank3,5.045929804,4.217811034,5.956035413,4.299720688
Rai1,10.40486982,7.608114902,12.10635416,9.875566675
Lrrtm3,0.85422962,0.85412127,0.494493493,0.336348513
Tial1,24.61456443,18.9124964,25.09316003,20.25278582
Senp3,60.77597921,45.21070485,60.75671363,45.8793047
FAM193B,3199.850315,3385.255021,8871.65959,6133.973838
PPM1B,3612.357954,1791.211079,13590.63818,11543.50154
DEDD,1092.300878,2717.019232,8387.189635,10082.35748
CSDE1,24.83353941,20.13906357,23.39049868,15.56798759
KMT2E,3.706281451,4.156240479,4.220311823,2.63001698
TBR1,1.449740656,1.225246706,1.343157323,0.772943143
LRP1,1.134334655,1.024955465,0.340024043,0.275314808
EIF4G3,2773.248792,3618.200956,6839.754483,4722.395333
CNTN6,0.601555565,0.493365057,0.832356985,0.61893891
PBX1,0.029487993,0.027335139,0.024695263,0.016223515
CACNG2,0.155942865,0.138340752,0.21357848,0.136114538
CHD2,0.509657167,0.577381226,0.74511965,0.583065558
MBNL1,3145.05296,4177.3264,2095.062443,3362.995923
INTS6,2.03683115,1.97593361,1.154192183,0.692643618
DLG3,1.459787233,1.25934467,1.711518755,1.136196165
FGF9,0.468446645,0.341937651,0.35432086,0.330734078
SRGAP2,4.645624622,4.17917744,5.548442908,4.353913058
SERTAD2,3.536139363,3.154219194,5.297689143,3.374476458
NLK,0.413906893,0.321719738,0.322652655,0.27995924
TCF7L2,0.478712364,0.42354374,0.533423923,0.382421305
CNOT3,44.45459906,37.34908259,63.29084015,43.4522518
CTDSP2,40.63949648,34.22657867,33.55511385,29.04052858
RFX7,8.337591552,6.290516179,8.137344955,7.773397948
ELAVL4,2.714093782,2.433959229,3.183637033,2.638212645
BRD2,1057.268052,1033.528179,761.9353165,511.5874093
DLX1,35.21155166,32.7347105,47.63480403,27.6029149
PABC1,9.236573893,8.493515644,10.54290019,8.762355283
Vmn1r71,30.05933128,24.75494338,42.12648488,26.55570253
IGF1,0.258494477,0.239074747,0.43539565,0.354737058
SREK1,10670.07196,2216.040647,2378.506972,1514.66921
DDX6,0.259613672,0.220102737,0.307550918,0.31410327
AMD1,0.297126253,0.258964826,0.377283673,0.319061295
