ID,ESC1,ESC2,EB1,EB2,EB3,EB4,NSC1,NSC2,NEURON1,NEURON2,LIMB1,LIMB2,LIMB3,LIMB4
GPBP1,1.432695801,0.715635141,0.298354237,0.287020821,0.31218252,0.238413831,8.355996312,16.20119694,1.440701399,1.830392755,1.018891277,1.176992147,1.107450638,1.859600132
HCV,3.878461149,1.385695733,0.675777568,0.456820387,0.420187395,0.500528668,0.943590322,1.502862824,1.108572114,1.176899973,2.97356259,2.358376974,3.282007352,4.929646644
PAPPA,70.76526873,32.94265984,12.38817668,12.19032304,6.465109955,14.36260859,25.9297287,101.4651388,146.4757198,27.19698524,234.8159464,163.7929414,39.08644717,17.11480224
KSR2,31.24804169,15.52423233,9.000435894,10.50055867,18.29947713,11.62287421,29.37973945,29.00924753,65.6877966,37.00358197,117.0839577,121.3826488,42.39911519,19.86960698
Tgfb3,0.973034481,0.997484815,0.238018149,0.400177533,0.256926332,0.431645547,3.379851732,1.924391709,0.960885801,1.323990994,2.196796132,2.519123982,2.51339549,3.823492411
Mbd5,0.097244205,0.118333902,0.059284115,0.067600749,0.037779123,0.045136391,0.624998798,0.482409725,0.100452021,0.128355751,0.22516895,0.238390717,0.289578861,0.398648423
Wsb1,5.915400869,7.570573731,2.183437044,2.928653115,2.489908296,2.576292961,11.26776369,7.113172646,9.47490712,15.89210125,9.821750379,10.45259937,8.762370969,6.733927568
Tmem8b,0.181857506,0.177336137,0.120828082,0.136796313,0.051309927,0.037861566,1.560751769,0.880730452,2.945251498,1.593672578,0.36180362,0.627177964,0.511638429,1.064478738
FLRT3,0.453765872,0.23415063,0.228841321,0.111522314,0.157256932,0.092173565,0.555550174,0.759334946,0.257453894,0.645263074,0.676332329,1.019391639,0.953157134,0.819218527
VWC2L,0.508265534,0.181954924,0.153493048,0.126170838,0.084278951,0.062889583,0.783133837,0.96078457,0.60992351,0.474402098,0.766899503,0.835552477,0.67165568,1.063341607
Mapk6,0.271947745,0.199326332,0.151507701,0.085424766,0.087755695,0.043226121,0.916196467,1.0867042,0.205135832,0.304928242,0.917282493,0.837257212,0.672960911,0.925982191
Lrrtm1,0.397511374,0.402437982,0.172031596,0.158846468,0.098685079,0.188170082,2.788409646,3.784184271,1.155037558,1.229170681,1.134252584,2.077327778,1.477973603,2.330256862
Sema3a,1.745530973,2.029400611,0.941698727,0.684289686,1.462591326,0.731988053,1.939865114,2.187519531,3.467342524,1.56220915,7.306984139,8.965697008,7.292473775,8.29585189
Ppp1r10,0.204832931,0.141802996,0.090709442,0.084296077,0.049911806,0.061201601,1.892093776,0.629725924,0.201278568,0.3036341,1.628428405,1.939732082,1.42574068,1.775327967
Zfp608,0.104077348,0.098164263,0.066659693,0.035287673,0.046593597,0.049410056,1.007999904,0.583731256,0.210037981,0.257038994,0.527708892,0.529954608,0.438645674,0.581841424
Plag1,0.161067453,0.294018403,0.092858555,0.078583972,0.060889891,0.057302748,0.626863979,1.019999867,0.376741149,0.321949034,0.792361906,1.368975648,1.518431102,1.440394784
