attrib ID IRES positive ,attrib ID all 
GO:0021955,GO:0071335
GO:0048706,GO:0060510
GO:0048704,GO:2000794
GO:0046328,GO:0021542
GO:0035264,GO:0060736
GO:0021543,GO:0035112
GO:0007254,GO:0009954
GO:0032872,GO:0021871
GO:0070302,GO:0021952
GO:0051403,GO:0021955
GO:0031098,GO:0031069
GO:0001501,GO:0031641
GO:0048705,GO:0021766
GO:0003002,GO:0048730
GO:0003712,GO:0060425
GO:0000989,GO:0035115
GO:0051252,GO:0048706
GO:0003700,GO:0060428
GO:0001071,GO:0048806
GO:0000988,GO:0035136
GO:0006355,GO:0048701
GO:2001141,GO:0030850
GO:0006351,GO:0048704
GO:0032774,GO:0043589
GO:2000112,GO:0048286
GO:0019219,GO:0021761
GO:0051171,GO:0035272
GO:0010556,GO:0021543
GO:0044212,GO:0008543
GO:0010468,GO:0010463
GO:0044271,GO:0035264
GO:0031326,GO:0033555
GO:0000975,GO:0021954
GO:0001067,GO:0030326
GO:0018130,GO:0035113
GO:0019438,GO:0002062
GO:0009889,GO:0021987
GO:0034654,GO:0044344
GO:0016070,GO:0071774
GO:1901362,GO:0021537
GO:0007389,GO:0001501
GO:0010629,GO:0035107
GO:0000165,GO:0035108
GO:0051253,GO:0048736
GO:0043565,GO:0060173
GO:0031323,GO:0009791
GO:0045892,GO:0003002
GO:0034645,GO:0030900
GO:0044260,GO:0007219
GO:0045934,GO:0035265
GO:0005488,GO:0072089
GO:0009059,GO:0007411
GO:0043408,GO:0097485
GO:0090304,GO:0009952
GO:0080090,GO:0048608
GO:0051172,GO:0051216
GO:0045595,GO:0061458
GO:0043009,GO:0001764
GO:0010558,GO:0046660
GO:0060255,GO:0055123
GO:0048598,GO:0061351
GO:0009792,GO:0090287
GO:2000113,GO:0048705
GO:0005634,GO:0003700
GO:0007610,GO:0022612
GO:0019222,GO:0001071
GO:0031327,GO:0061448
GO:0040007,GO:0008083
GO:0010467,GO:0048592
GO:0006357,GO:0030902
GO:2000026,GO:0046545
GO:0005575,GO:0061138
GO:0051254,GO:0007389
GO:0009890,GO:0000975
GO:0003676,GO:0001067
GO:0043170,GO:0048732
GO:0045893,GO:0007548
GO:0007417,GO:0050678
GO:0009887,GO:0007420
GO:0031401,GO:2000027
GO:0009987,GO:0046328
GO:0010604,GO:0044212
GO:0044249,GO:0045211
GO:0010647,GO:0000976
GO:0010557,GO:0021953
GO:0006366,GO:0001763
GO:0050793,GO:0048562
GO:0010628,GO:0007254
GO:1901576,GO:0050890
GO:0050794,GO:0048863
GO:0005515,GO:0050673
GO:0006139,GO:0007611
GO:0046483,GO:0045137
GO:0010605,GO:0007409
GO:0034641,GO:0048812
GO:0009058,GO:0043565
GO:0006725,GO:0007417
GO:0048522,GO:0051960
GO:0031325,GO:0016358
GO:0030154,GO:0051403
GO:0050789,GO:0090092
GO:0006807,GO:0061564
GO:0044237,GO:0048754
GO:0023056,GO:0050767
GO:0009967,GO:0031098
GO:0045935,GO:0051252
GO:0044464,GO:0006355
GO:0005623,GO:0042063
GO:0031324,GO:2001141
GO:0003677,GO:0001655
GO:0009893,GO:0007178
GO:0065007,GO:0030324
GO:1901360,GO:0003006
GO:0051173,GO:0006351
GO:0048869,GO:0097060
GO:0003674,GO:0032774
GO:0009891,GO:0030323
GO:0009892,GO:0022008
GO:0008150,GO:0048699
GO:0048513,GO:0048598
GO:0005622,GO:0045893
GO:0048731,GO:0009887
GO:0003723,GO:0001654
GO:0044238,GO:0051254
GO:0071704,GO:0048568
GO:0031328,GO:0006357
GO:0032502,GO:2000112
GO:0048468,GO:0007399
GO:0051239,GO:0060541
GO:0007275,GO:0044708
GO:0009790,GO:0000981
GO:0031399,GO:0048667
GO:0044424,GO:0000122
GO:0048518,GO:0060284
GO:0048523,GO:0043009
GO:0008152,GO:0010556
GO:0048699,GO:0009792
GO:0048856,GO:0045664
GO:0006464,GO:0010628
GO:0036211,GO:0048864
GO:1901363,GO:0006366
GO:0048519,GO:0030182
GO:0044767,GO:0045892
GO:0097159,GO:0031175
GO:0043412,GO:0044271
GO:0022008,GO:0019219
GO:0007399,GO:0051171
GO:0009653,GO:0010720
GO:0043231,GO:2000026
GO:0043227,GO:0031326
GO:0044699,GO:0051253
GO:0009966,GO:0034654
GO:0010646,GO:0048666
GO:0016265,GO:0010468
GO:0044267,GO:0010557
GO:0043229,GO:0018130
GO:0043226,GO:0019438
GO:0044763,GO:0031589
GO:0023051,GO:0000989
GO:0032501,GO:0009889
GO:0044707,GO:0048589
GO:0048583,GO:0045595
GO:0019538,GO:0045944
GO:0016043,GO:0070848
GO:0071840,GO:0045596
,GO:0000988
,GO:0010629
,GO:0045935
,GO:0051173
,GO:0048468
,GO:0030424
,GO:0016070
,GO:1901362
,GO:0000904
,GO:0007423
,GO:0071363
,GO:0045934
,GO:0007346
,GO:0007610
,GO:0010604
,GO:0048858
,GO:2000113
,GO:0048731
,GO:0072001
,GO:0003677
,GO:0005575
,GO:0002009
,GO:0051172
,GO:0003712
,GO:0000165
,GO:0034645
,GO:0010558
,GO:0009653
,GO:0005667
,GO:0031323
,GO:0001503
,GO:0040007
,GO:0032990
,GO:0031327
,GO:0043410
,GO:0031328
,GO:0009891
,GO:0035295
,GO:0009059
,GO:0030154
,GO:0031325
,GO:0009890
,GO:0031644
,GO:0007275
,GO:0003676
