# species: Mus musculus
# support: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
# associations retrieved on: 2014-07-28 13:48:56-04
# gofunc built on: 2013-10-27 21:51:15.890197-04
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.mgi.gz
#   revision: 1.3
#   downloaded on: 2013-10-27 16:13:50-04
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201310-assocdb-tables.tar.gz
#   downloaded on: 2013-10-17 16:47:31-04
# translation required: no
# size of "genespace": 25488
# number of attributes: 17457
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 137
# Number of entities in query: 131
# Total number of entities: 25489
# Original total number of entities: 25488
# Entities not in default gene space: 1
# Total number of attributes: 17457
# Translation required: no
# Mode: unordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
OVERREPRESENTED ATTRIBUTES
N	X	LOD	P	P_adj	attrib ID	attrib name
4	31	1.51203054239301	1.88265434252831e-05	0.028	GO:0021955	central nervous system neuron axonogenesis
10	124	1.27997430781201	9.02585519401415e-10	<0.001	GO:0048706	embryonic skeletal system development
7	94	1.24051487934544	5.69021567361361e-07	0.001	GO:0048704	embryonic skeletal system morphogenesis
8	126	1.16613157155735	2.96505673477046e-07	0.001	GO:0046328	regulation of JNK cascade
9	154	1.12835765950928	1.07047380429352e-07	<0.001	GO:0035264	multicellular organism growth
6	105	1.11887129972812	1.7430906252162e-05	0.026	GO:0021543	pallium development
8	145	1.101220181783	8.6648372084918e-07	0.001	GO:0007254	JNK cascade
8	146	1.09805588699043	9.12792554599652e-07	0.001	GO:0032872	regulation of stress-activated MAPK cascade
8	147	1.09491423254013	9.61197379556912e-07	0.001	GO:0070302	regulation of stress-activated protein kinase signaling cascade
9	169	1.08548716899753	2.36657995529579e-07	0.001	GO:0051403	stress-activated MAPK cascade
9	174	1.07207802440646	3.03020241835062e-07	0.001	GO:0031098	stress-activated protein kinase signaling cascade
17	378	1.02402083743207	1.1419444337185e-11	<0.001	GO:0001501	skeletal system development
8	203	0.947376253532409	1.05572044097073e-05	0.014	GO:0048705	skeletal system morphogenesis
