GO:0000165	MAPK cascade
GO:0000975	regulatory region DNA binding
GO:0000988	protein binding transcription factor activity
GO:0000989	transcription factor binding transcription factor activity
GO:0001067	regulatory region nucleic acid binding
GO:0001071	nucleic acid binding transcription factor activity
GO:0001501	skeletal system development
GO:0003002	regionalization
GO:0003674	molecular_function
GO:0003676	nucleic acid binding
GO:0003677	DNA binding
GO:0003700	sequence-specific DNA binding transcription factor activity
GO:0003712	transcription cofactor activity
GO:0005488	binding
GO:0005515	protein binding
GO:0005575	cellular_component
GO:0005622	intracellular
GO:0005623	cell
GO:0005634	nucleus
GO:0006139	nucleobase-containing compound metabolic process
GO:0006351	transcription, DNA-dependent
GO:0006355	regulation of transcription, DNA-dependent
GO:0006357	regulation of transcription from RNA polymerase II promoter
GO:0006366	transcription from RNA polymerase II promoter
GO:0006464	cellular protein modification process
GO:0006725	cellular aromatic compound metabolic process
GO:0006807	nitrogen compound metabolic process
GO:0007254	JNK cascade
GO:0007275	multicellular organismal development
GO:0007389	pattern specification process
GO:0007399	nervous system development
GO:0007417	central nervous system development
GO:0007610	behavior
GO:0008150	biological_process
GO:0008152	metabolic process
GO:0009058	biosynthetic process
GO:0009059	macromolecule biosynthetic process
GO:0009653	anatomical structure morphogenesis
GO:0009790	embryo development
GO:0009792	embryo development ending in birth or egg hatching
GO:0009887	organ morphogenesis
GO:0009889	regulation of biosynthetic process
GO:0009890	negative regulation of biosynthetic process
GO:0009891	positive regulation of biosynthetic process
GO:0009892	negative regulation of metabolic process
GO:0009893	positive regulation of metabolic process
GO:0009966	regulation of signal transduction
GO:0009967	positive regulation of signal transduction
GO:0009987	cellular process
GO:0010467	gene expression
GO:0010468	regulation of gene expression
GO:0010556	regulation of macromolecule biosynthetic process
GO:0010557	positive regulation of macromolecule biosynthetic process
GO:0010558	negative regulation of macromolecule biosynthetic process
GO:0010604	positive regulation of macromolecule metabolic process
GO:0010605	negative regulation of macromolecule metabolic process
GO:0010628	positive regulation of gene expression
GO:0010629	negative regulation of gene expression
GO:0010646	regulation of cell communication
GO:0010647	positive regulation of cell communication
GO:0016043	cellular component organization
GO:0016070	RNA metabolic process
GO:0016265	death
GO:0018130	heterocycle biosynthetic process
GO:0019219	regulation of nucleobase-containing compound metabolic process
GO:0019222	regulation of metabolic process
GO:0019438	aromatic compound biosynthetic process
GO:0021543	pallium development
GO:0021955	central nervous system neuron axonogenesis
GO:0022008	neurogenesis
GO:0023051	regulation of signaling
GO:0023056	positive regulation of signaling
GO:0030154	cell differentiation
GO:0031098	stress-activated protein kinase signaling cascade
GO:0031323	regulation of cellular metabolic process
GO:0031324	negative regulation of cellular metabolic process
GO:0031325	positive regulation of cellular metabolic process
GO:0031326	regulation of cellular biosynthetic process
GO:0031327	negative regulation of cellular biosynthetic process
GO:0031328	positive regulation of cellular biosynthetic process
GO:0031399	regulation of protein modification process
GO:0031401	positive regulation of protein modification process
GO:0032501	multicellular organismal process
GO:0032502	developmental process
GO:0032774	RNA biosynthetic process
GO:0034641	cellular nitrogen compound metabolic process
GO:0034645	cellular macromolecule biosynthetic process
