"NA.","ES1","ES2","ES3","ES4","NSC1","NSC2","NSC3","NSC4","NSC5","NSC6","NSC7","NEU1","NEU2","NEU3","NEU4","NEU5","NEU6","ML1","ML2","ML3","ML4","ML5","ML6","EB1","EB2","EB3","EB4"
"GPBP1",8005.46,3217.56,391.008,1011.06,3534.67,9640.02,45848.2,59098,33958.2,29602.2,30716.9,6846.53,2308.29,15704.3,14741.7,27139.7,6626.37,5764.79,6253.11,8907.28,12544.5,4613.15,4680.18,794.034,707.027,1218.08,1064.06
"HCV",9802.19,4428.06,1467.12,3417.63,NA,NA,1447.11,1849.18,2034.22,1057.06,923.046,388.008,326.006,13812.3,36490.8,9203.57,7166.77,19846.2,29005.4,26810.8,19625.8,11252.8,6716.44,494.013,598.019,574.018,2130.24
"PAPPA",NA,NA,NA,NA,17425.4,33788.5,NA,NA,NA,NA,NA,63132.5,29156.8,327201,409905,NA,NA,205223,110035,127274,81898.6,NA,NA,NA,NA,NA,NA
"KSR2",NA,NA,NA,NA,14807.8,6092,NA,NA,NA,NA,NA,26866.9,22313.9,NA,22026.2,NA,NA,89896.3,81920.8,37116.2,48068.5,NA,NA,NA,NA,NA,NA
"TGFB3",5596.69,3965.85,703.027,1200.08,801.035,458.011,1338.1,1416.11,4738.21,2161.25,2859.44,3612.7,2399.31,15668.2,10983.5,27014.4,31838.6,65210.8,41941.8,24355,29941.3,15282.6,9239.61,368.007,417.009,527.015,717.028
"MBD5",477.012,298.005,143.001,99.0005,130.001,NA,135.001,150.001,229.003,146.001,214.002,526.015,442.011,647.023,578.018,1940.2,647.023,2579.36,1789.17,1325.09,1300.09,1324.09,686.025,90.0004,96.0005,103.001,85.0004
"WSB1",42974.5,24101.3,22373,4725.21,NA,1515.12,8189.62,14077.7,15036.2,5909.89,5839.84,15454.9,25604.4,156144,48105.6,34143.8,26178,107042,80306.8,60060.2,44653.4,220.003,30134,2740.41,4891.29,5891.87,5915.89
"TMEM8B",309.005,285.004,97.0005,203.002,NA,NA,132.001,182.002,145.001,157.001,175.002,1876.19,2682.39,3583.69,3213.56,2872.45,4535.11,2318.29,4509.1,1193.08,3320.6,1006.05,602.02,116.001,333.006,117.001,93.0005
"FLRT3",933.047,566.017,259.004,290.005,195.002,183.002,161.001,242.003,237.003,161.001,306.005,654.023,382.008,3811.78,2435.32,326.006,1584.14,5232.48,5790.81,4926.31,5259.49,247.003,2242.27,165.001,119.001,131.001,145.001
"VWC2L",1804.18,517.014,254.004,264.004,NA,NA,135.001,149.001,286.004,192.002,360.007,724.028,343.006,2429.32,2201.26,7633.15,2252.27,3370.61,2720.4,2774.42,1809.18,1252.08,1741.16,171.002,134.001,162.001,129.001
