"NA.","ES1","ES2","ES3","ES4","NSC1","NSC2","NSC3","NSC4","NSC5","NSC6","NSC7","NEU1","NEU2","NEU3","NEU4","NEU5","NEU6","ML1","ML2","ML3","ML4","ML5","ML6","EB1","EB2","EB3","EB4"
"GPBP1",5587.69,4496.09,773.032,2518.34,423.01,595.019,9471.84,9385.75,6747.46,7078.7,6718.44,4752.22,1261.09,27822.7,22059.2,83002.4,16976.6,5205.46,3362.61,8742.13,10658.1,17334.2,24814.2,2661.38,2463.33,3901.82,4463.08
"HCV",2527.34,3195.55,1257.09,2197.26,NA,NA,1570.13,1208.08,1933.2,894.043,1035.06,350.007,277.004,6779.48,20010.6,9561.94,12584.5,6046.97,5883.87,9016.39,8321.74,16119,15406.8,731.029,1309.09,1366.1,4255.98
"PAPPA",NA,NA,NA,NA,672.024,333.006,NA,NA,NA,NA,NA,431.01,1072.06,820.036,327.006,NA,NA,5250.49,6429.23,542.016,500.013,NA,NA,NA,NA,NA,NA
"KSR2",NA,NA,NA,NA,504.014,210.002,NA,NA,NA,NA,NA,409.009,603.02,NA,228.003,NA,NA,2120.24,4122.92,317.005,396.008,NA,NA,NA,NA,NA,NA
"TGFB3",5751.79,3975.85,376.008,1006.05,237.003,238.003,1014.06,1039.06,4244.97,2276.28,2460.33,3759.76,1812.18,10682.2,7040.68,49655.8,32779.9,25945.3,10969.5,11086.6,11885.6,14690.6,20096.8,1546.13,1042.06,2051.23,1661.15
"MBD5",4905.3,2518.34,617.021,578.018,208.002,NA,1692.15,1299.09,3667.73,1360.1,4371.03,5236.48,3443.64,4443.07,6156.05,36050,4336.02,8907.28,4488.09,5884.87,5453.61,11270.9,7776.27,1518.12,1420.11,2726.4,1883.19
"WSB1",7264.85,3183.55,1602.14,547.016,NA,213.002,851.039,1608.14,1371.1,710.027,805.035,1631.14,1611.14,5658.73,1414.11,7798.28,8154.59,12216.1,11925.7,6115.02,4271.99,15209.5,14760.8,1255.09,1670.15,2366.3,2296.28
"TMEM8B",1699.16,1607.14,387.008,1296.09,NA,NA,233.003,449.011,457.011,832.037,499.013,637.022,1683.15,10860.4,13069.2,30692.8,28579,4531.11,4235.97,3297.59,5294.51,5546.66,6245.11,960.05,2434.32,2280.28,2456.33
"FLRT3",2056.23,2417.32,709.027,1326.09,351.007,241.003,822.037,529.015,824.037,490.013,1136.07,2540.35,592.019,14190.9,7598.12,757.031,7589.11,5489.63,7068.7,7283.86,5159.44,10195.6,14488.3,721.028,1067.06,833.038,1573.13
"VWC2L",3549.68,2841.44,564.017,788.034,NA,NA,316.005,295.005,589.019,417.009,1918.2,1187.08,723.028,7062.69,4167.94,55902.2,12520.5,5018.36,2558.35,3617.71,2165.25,4496.09,24782.1,1114.07,1062.06,1922.2,2051.23
