x,ES1,ES2,ES3,ES4,NSC1,NSC2,NSC3,NSC4,NSC5,NSC6,NSC7,NEU1,NEU2,NEU3,NEU4,NEU5,NEU6,ML1,ML2,ML3,ML4,ML5,ML6,EB1,EB2,EB3,EB4
"1 ""ACVR2A""",1.432695801,0.715635141,0.505810885,0.401478752,8.355996312,16.20119694,4.840474501,6.296566604,5.032738245,4.181869552,4.572028626,1.440701399,1.830392755,0.564441984,0.668278995,0.326974883,0.39032374,1.107450638,1.859600132,1.018891277,1.176992147,0.266129963,0.188608942,0.298354237,0.287020821,0.31218252,0.238413831
"2 ""ADAMTS6""",3.878461149,1.385695733,1.167076343,1.555405369,NA,NA,0.9216498,1.530676776,1.052255328,1.182336867,0.891780187,1.108572114,1.176899973,2.037368648,1.823573506,0.962521204,0.569491835,3.282007352,4.929646644,2.97356259,2.358376974,0.698107823,0.435939975,0.675777568,0.456820387,0.420187395,0.500528668
"3 ""AHDC1""",NA,NA,NA,NA,25.9297287,101.4651388,NA,NA,NA,NA,NA,146.4757198,27.19698524,399.0080923,1253.50911,NA,NA,39.08644717,17.11480224,234.8159464,163.7929414,NA,NA,NA,NA,NA,NA
"4 ""AMD1""",NA,NA,NA,NA,29.37973945,29.00924753,NA,NA,NA,NA,NA,65.6877966,37.00358197,NA,96.60486923,NA,NA,42.39911519,19.86960698,117.0839577,121.3826488,NA,NA,NA,NA,NA,NA
"5 ""AMD2/1""",0.973034481,0.997484815,1.869712878,1.192863178,3.379851732,1.924391709,1.319547167,1.362876061,1.11619399,0.949465795,1.162218076,0.960885801,1.323990994,1.466757784,1.560005568,0.544033124,0.971284232,2.51339549,3.823492411,2.196796132,2.519123982,1.040297878,0.459755284,0.238018149,0.400177533,0.256926332,0.431645547
"6 ""ANK3""",0.097244205,0.118333902,0.231760345,0.171275808,0.624998798,NA,0.079780752,0.115466211,0.062437257,0.107345783,0.04895917,0.100452021,0.128355751,0.14562521,0.093894299,0.053819695,0.149220483,0.289578861,0.398648423,0.22516895,0.238390717,0.11747864,0.088220316,0.059284115,0.067600749,0.037779123,0.045136391
"7 ""ANKS1B""",5.915400869,7.570573731,13.96444755,8.638156836,NA,7.113172646,9.623084253,8.754026391,10.96652323,8.323472206,7.25414423,9.47490712,15.89210125,27.59347062,34.01828712,4.378375744,3.210216577,8.762370969,6.733927568,9.821750379,10.45259937,0.014464841,2.041488266,2.183437044,2.928653115,2.489908296,2.576292961
"8 ""ARHGEF9""",0.181857506,0.177336137,0.250642106,0.156626469,NA,NA,0.566520603,0.405339736,0.317281203,0.188694734,0.350696274,2.945251498,1.593672578,0.329977717,0.245888042,0.093587095,0.158686798,0.511638429,1.064478738,0.36180362,0.627177964,0.181379425,0.096398622,0.120828082,0.136796313,0.051309927,0.037861566
"9 ""ASXL2""",0.453765872,0.23415063,0.365294975,0.218691793,0.555550174,0.759334946,0.195856148,0.457459618,0.287612085,0.328564752,0.269354001,0.257453894,0.645263074,0.268607347,0.320516128,0.430637583,0.208738574,0.953157134,0.819218527,0.676332329,1.019391639,0.024226431,0.154764189,0.228841321,0.111522314,0.157256932,0.092173565
"10 ""ASXL3""",0.508265534,0.181954924,0.450348128,0.335016002,NA,NA,0.427211595,0.505079575,0.485559889,0.460426514,0.187679595,0.60992351,0.474402098,0.34396526,0.528141,0.136544716,0.179886586,0.67165568,1.063341607,0.766899503,0.835552477,0.27848197,0.070258775,0.153493048,0.126170838,0.084278951,0.062889583
"11 ""B3GALT2""",0.271947745,0.199326332,NA,NA,NA,NA,0.335099829,0.510251072,0.506013587,0.372459723,0.417483834,0.205135832,0.304928242,0.194061298,0.664062138,0.18651657,0.157192991,0.672960911,0.925982191,0.917282493,0.837257212,0.206781454,0.10588637,0.151507701,0.085424766,0.087755695,0.043226121
"12 ""BCL11A""",0.397511374,0.402437982,0.882083427,0.718678487,NA,NA,1.262288898,0.990496663,1.960126672,2.294218405,1.800838795,NA,NA,1.311410585,2.183419437,0.752604339,0.593450705,1.477973603,2.330256862,1.134252584,2.077327778,0.377063655,0.288252562,0.172031596,0.158846468,0.098685079,0.188170082
"13 ""BCL2""",1.745530973,2.029400611,1.833354321,NA,NA,NA,2.554528042,2.200091054,2.146606739,2.552901753,2.817311949,3.467342524,1.56220915,3.772617234,4.509011216,2.440966539,2.728041987,7.292473775,8.29585189,7.306984139,8.965697008,2.240590048,1.659407431,0.941698727,0.684289686,1.462591326,0.731988053
"14 ""BDNF""",0.204832931,0.141802996,NA,NA,1.892093776,0.629725924,0.289236996,0.351138803,0.309033849,0.346872407,0.215790956,0.201278568,0.3036341,NA,NA,0.080339399,0.286329666,1.42574068,1.775327967,1.628428405,1.939732082,0.313718098,0.209184527,0.090709442,0.084296077,0.049911806,0.061201601
"15 ""BHLHE22""",0.104077348,0.098164263,0.289395342,0.216112715,1.007999904,0.583731256,0.268879077,0.276766257,0.16584572,0.354955079,0.23584842,0.210037981,0.257038994,0.339411999,0.312655998,0.144871124,0.147710963,0.438645674,0.581841424,0.527708892,0.529954608,0.183310393,0.101121579,0.066659693,0.035287673,0.046593597,0.049410056
"16 ""BMP5""",0.161067453,0.294018403,0.367777487,0.336214815,NA,NA,0.332544572,0.342577099,0.193536735,0.280518021,0.249871528,0.376741149,0.321949034,0.578914686,0.482585036,0.142134578,0.221099329,1.518431102,1.440394784,0.792361906,1.368975648,0.324677631,0.204286116,0.092858555,0.078583972,0.060889891,0.057302748
"17 ""BRD2""",15.43823,6.5839381,4.134091893,4.87823631,7.369718937,12.42153064,37.45585187,39.4025411,16.19214781,9.608098982,16.54449294,2.833880014,3.628586934,1.899205859,8.493974138,1.358787774,2.45343118,5.836306764,7.392980181,9.646627028,8.256258451,2.070490653,1.130612306,1.069766468,1.015596066,0.95400713,1.203427929
"18 ""BRINP1""",0.938984379,0.629535005,0.951454035,1.07985286,NA,0.92827095,0.291279167,0.313916814,0.521780989,0.460634579,0.346120715,0.28148942,0.83007836,1.435723009,1.360070327,1.337452499,0.953491258,2.221965491,3.476861073,1.674205559,2.031321367,0.639399273,0.288969428,0.606187446,0.247767161,0.638784819,0.166840222
"19 ""CACNG2""",3.565851893,2.059781716,2.293980257,2.388343378,4.555753559,6.807163399,7.676049796,8.19981946,5.846542608,4.174128454,2.897647343,1.407214408,1.62526017,2.850985,2.422787995,0.905578296,2.17134745,5.248202747,3.669816383,5.156584993,4.933531061,1.360557407,0.946123851,0.39280942,0.535703586,0.549312081,0.420150879
