"","ID","ESC.Mean","NSC.Mean","NEU.Mean","ML.Mean","EB.Mean"
"1","ACVR2A",0.086414927760627,0.0889540518688147,0.264787389157443,0.195258871595429,0.14502528225214
"2","ADAMTS6",0.228563609284409,0.155790882922352,0.127611904461773,0.0827187289405548,0.113218988486737
"3","AHDC1",0.239561863320892,0.104960621932128,0.243263983278568,0.0618752484268666,0.225800176034233
"4","AMD1",0.768362203208373,0.082202907263755,0.110914257626512,0.064847323257584,0.108704841544188
"5","AMD2/1",0.192849809427421,0.210541763251686,0.166325808278415,0.0725223058549148,0.217080560377158
"6","ANK3",0.123642972279971,0.13877285754966,0.16595807025169,0.147635058088437,0.142303669088297
"7","ANKS1B",0.0914208237362227,0.226059662140433,0.46471281545854,0.148451772127108,0.198159043344776
"8","ARHGEF9",0.164631137158074,0.281339316501125,0.436890631695163,0.0785633889040631,0.136405536514575
"9","ASXL2",0.05029974999774,0.121483259759965,0.114046644364514,0.103089147190396,0.142558497172003
"10","ASXL3",0.214769907579343,0.0847606140359429,0.152941877925215,0.0894346138819093,0.122753199809799
"11","AUTS2",NA,NA,0.373635912149006,0.0549764084270001,NA
"12","AZIN1",NA,NA,0.216438026264226,0.0406476869674478,NA
"13","B3GALT2",0.195649602498305,0.127232884243118,0.1682028683927,0.0405755261615798,0.19583529871177
"14","BARHL1",NA,NA,0.157741553645332,0.351773514814285,NA
"15","BCL11A",0.196255778519077,0.106551223542782,0.434351217868829,0.0709020639781045,0.0956160735822156
"16","BCL2",0.145483359210484,0.0854367557773679,0.211534475061265,0.0994869986210904,0.224870409645711
"17","BDNF",0.0472580951399291,0.0725101285130713,0.169704396880907,NA,0.106734322818436
"18","BHLHE22",0.116904546280832,0.134181627905461,0.132263753093246,0.16400503376984,0.0835032030609457
"19","BMP5",0.0636688101762308,0.095567462375264,0.0628218361238038,0.0996269828312732,0.0649410848988191
"20","BRD2",0.179276165692929,0.13558976272776,0.722272782755767,0.234720704668986,0.134400353133283
"21","BRINP1",0.0861244088914314,0.223692192463935,0.0850240522483896,0.0820625664584288,0.143771282850788
"22","C3HC4",NA,NA,0.113389939341843,0.464350955411204,NA
"23","CACNG2",0.118138646387462,0.101607216412462,0.179149908284629,0.148242271732865,0.107558797759121
"24","CAR10",0.020853555109077,0.0969972429766293,0.0199527527048863,0.0653714908586248,0.0231901035092736
"25","CHD2",0.135722879973381,0.316081161907815,0.464569556667028,0.0546315181043944,0.129727568378879
"26","CHRDL1",0.0614511531602348,0.189175855122517,0.304540450098519,0.0927126301962675,0.214221913558454
"27","CHTOP",0.132278530024095,0.123504889964903,0.395870950614389,0.0853620827385881,0.209750232792897
"28","CNOT3",0.0490273662172918,0.121245423052978,0.629120409808505,0.0845265892513911,0.116647875369855
"29","CNTN4",0.109088822683417,0.337533288567427,0.466436626565412,0.123061517229213,0.0792076877388472
"30","CNTN6",0.262056764957076,0.233314842340702,0.244389412191278,0.0982104512825646,0.224602808445222
"31","COL5A2",0.00308993005595396,0.109061851057997,0.450946145518472,NA,0.105100311656509
"32","CRPV",0.133448251781607,0.183565499459433,0.095617934355537,0.138244799067271,0.328211717905956
"33","CRYAB",0.131569763886967,0.201078735179736,0.32380060531268,0.109808128333372,0.203011295533463
"34","CSDE1",0.160378333837172,0.204289850267217,0.791404812891978,0.0624973334494639,0.227048983414206
"35","CTCF",NA,0.250494603872759,0.28920158350031,0.331636882969062,NA
"36","CTDSP2",0.245389877323605,0.124612482408837,0.723701427577213,0.149395771761861,0.0419476888807231
"37","CXXC4",0.0274386697475524,0.149707748888754,0.252638585482674,0.136487848160933,0.34559438650759
"38","D830031N03RIK",0.195253715125784,0.103185980463717,0.391285052307987,0.0841878760055528,0.062451207077765
"39","DCC",0.236167377756881,0.297486311023747,0.261343319808537,0.0461629879565003,0.334883091807807
"40","DCN",NA,NA,0.129681917430441,0.277997108910827,NA
"41","DDX17",0.249783330048314,0.159195444102328,0.163010143713351,0.0978431159204833,0.147172338771366
"42","DDX6",0.0782513617599974,0.0913392618549498,0.117635411214542,0.073690098602725,0.136666372597195
"43","DEDD",NA,NA,0.561570831317698,0.605756858780731,NA
"44","DICER1",0.15061855520218,0.239671689366474,0.274368502776571,0.0619710306277115,0.0554402343915929
"45","DLG1",0.333917226460196,0.116938779682139,0.066307470087648,0.0914263761478871,0.216350098986374
"46","DLG2",0.116959636432425,0.33577399956763,0.158732314477031,0.022798650265462,0.101721123190389
"47","DLG3",0.0521057430918424,0.0813435106297354,0.636921705772905,0.0931639503639191,0.121022758160188
"48","DLX1",0.0862270459231634,0.0707447904174533,0.58133360345661,0.10663431901054,0.141496237314301
"49","E2F3",0.0679974520797155,0.150388977800105,0.081308997940809,0.0459299643113418,0.067039984896406
"50","EBF2",0.106957569423641,0.144506422278986,0.0508263540883067,0.195147299547004,0.341637835343836
"51","EBF3",0.0427743892786793,0.0703852102115974,0.550013005581147,0.100564499264532,0.0199808523183357
"52","EDN1",0.230976716271274,0.18100710732907,0.16874379464197,0.210284237488219,0.153341364718084
"53","EED",NA,NA,0.447128748481675,0.10456771875822,NA
"54","EHBP1",0.248711846145727,0.377942923918309,0.125720534822117,0.065789874489929,0.101565357818201
"55","EIF4G3",NA,NA,0.0206871696968536,0.471974239127471,NA
"56","EIF5",0.128535185314017,0.0751592112205564,0.207501467806751,0.168274969068744,0.0875409277725232
"57","ELAVL2",0.321688541162903,0.142110944851479,0.308491197725169,0.115971425506289,0.143945852157161
"58","ELAVL4",0.212395893813821,0.325564131573946,0.352870757272815,0.0843481431723412,0.0747175140253221
"59","ELK3",0.480821063956919,0.749695373758878,0.667441813606773,0.186983528207557,0.100050554920489
"60","ELMSAN1",0.124356321154457,0.168186521242213,0.0174793112944545,0.0653479941641961,0.185585277428264
"61","EMCV",0.104412424766943,0.118699550395674,0.328381224876094,0.0684018683991941,0.147340405581731
"62","EMX2",0.527806499009385,0.677591702508898,0.580599655713662,0.0390559255140998,0.132823109294676
"63","EN1",0.110803646747572,0.190927640454283,0.0443746680999336,0.0941149456428086,0.135723137864915
"64","EPHB1",0.114281980410133,0.0798778280650796,0.11681618173783,0.1213065402198,0.0825603480701191
"65","ESCO1",NA,NA,0.267738020852167,0.539965319773982,NA
