genes,firefly rep1,renilla rep1,firefly rep2,renilla rep2,firefly rep3,renilla rep3,firefly rep4,renilla rep4,firefly rep5,renilla rep5,firefly rep6,renilla rep6,firefly_avg,renilla_avg
GPBP1,0.404978879,0.154073754,0.617078082,0.645864908,0.504998147,0.523630433,0.694326066,0.642862145,0.243476236,0.172919098,1.791588657,0.337848012,0.709407678,0.412866392
HCV,0.766387583,0.698822411,1.153118891,0.775779344,0.703648534,0.751650459,0.834074791,0.577618097,0.726718147,0.357610009,0.910718521,0.346438031,0.849111078,0.584653059
PAPPA,0.532336749,0.01431693,0.524725767,0.24489671,0.559548798,0.850874115,0.45173986,0.40350611,0.273105287,0.305994044,0.808806102,0.079973313,0.525043761,0.316593537
KSR2,0.462987252,0.311109728,0.639963852,0.640624561,0.775825606,1.538456361,0.585405051,1.480764608,0.233018092,0.444441255,0.331166705,0.727270023,0.50472776,0.857111089
Tgfb3,0.881351262,0.588654938,1.035975803,0.491534825,0.650730613,0.748821415,0.506559687,0.402012279,0.293335799,0.122157858,2.019002566,0.962260847,0.897825955,0.552573694
Mbd5,0.727269284,0.427821445,1.067486488,0.84849265,1.373847462,2.527950686,1.084115399,1.090769519,0.348626357,0.258147868,0.508354551,0.784148282,0.85161659,0.989555075
Wsb1,0.900180023,0.510949091,1.274391196,0.524416819,0.67000891,6.842597364,0.571565192,0.371225061,0.544990163,0.39514712,1.500555744,0.865682259,0.910281871,1.585002952
Tmem8b,0.384112001,0.308176766,2.274675917,0.523317175,3.992834652,1.364758718,3.055465102,0.830872394,0.362648045,0.216899281,1.165568221,0.667204187,1.872550656,0.65187142
FLRT3,0.17213622,0.104046738,0.621675901,0.412598975,0.296473615,0.489966191,0.217565167,0.455927684,0.187357207,0.271102734,1.714665055,0.566297629,0.534978861,0.383323325
VWC2L,0.865888643,0.910282247,2.163294252,1.079647558,0.365041876,1.438337667,0.334797841,0.634726272,1.012439839,0.624303853,1.902613017,1.053297712,1.107345911,0.956765885
Mapk6,0.724637531,0.609820208,2.317157541,1.432058134,1.34273241,1.324097562,1.010637857,0.779923946,0.708972408,0.465676437,1.345775226,0.66278673,1.241652162,0.879060503
Lrrtm1,0.360771874,0.282017482,0.716166677,0.761697102,0.615129793,0.570825259,0.498307136,0.378946002,0.589002024,0.728042785,1.369809455,0.828854235,0.69153116,0.591730478
Sema3a,0.477735768,0.503237714,1.60119125,1.067864371,0.497073373,0.762370666,0.37366343,0.500172627,0.81896726,0.60995509,0.838223985,0.819255614,0.767809178,0.710476014
Ppp1r10,0.645225191,0.445966244,1.087292054,0.970658993,1.255728543,1.147929691,0.829316294,0.518264569,0.347918536,0.350788498,0.061677451,0.031515326,0.704526345,0.577520554
Zfp608,0.530794757,0.309632465,0.880609523,0.752415393,0.885445947,1.473994441,0.635931832,1.171007612,1.812238362,0.561883123,0.748552814,0.448221434,0.915595539,0.786192411
Plag1,1.062147206,1.086810796,1.448314647,1.019010323,0.708244283,0.705004781,0.580377195,0.384528898,0.467211817,0.256990207,0.65712757,0.441298006,0.820570453,0.648940502
TAOK2,0.046752294,0.004713457,0.740426833,0.695558383,0.506700694,0.300921432,0.307325473,0.237482111,0.099334476,0.147556225,1.214599078,0.591090416,0.485856475,0.329553671
NYAP2,0.387817736,0.25978035,0.990419816,0.434810225,0.506751695,0.556928505,0.336033421,0.458291814,0.225827682,0.192127301,0.749090481,0.635493168,0.532656805,0.422905227
Unc79,0.569673976,0.382084941,1.172732054,0.888885106,1.022275215,1.039959755,0.847109952,0.710685968,0.298485067,0.25425878,0.720817928,0.707053059,0.771849032,0.663821268
Gpr85,0.391988939,0.409038676,1.16803108,0.70265856,0.628388508,0.64727287,0.416815492,0.430733978,0.382873628,0.265582086,0.402532712,0.284026851,0.56510506,0.45655217
Car10,0.216934034,0.454541322,0.272743496,1.261491004,1.521656963,0.527954196,1.572703351,0.725546938,0.6342123,0.402137966,1.391593947,0.637117432,0.934974015,0.668131476
Rorb,0.386540654,0.334743168,0.862189796,0.687049743,1.037131362,1.452056707,0.460462363,0.38213085,0.584166146,0.310296412,1.171829673,0.795197843,0.750386666,0.660245787
Il1rapl1,0.504944197,0.539465993,0.641747077,0.629474477,0.600469608,0.687264045,0.427847237,0.520559869,0.530004594,0.411086734,0.468623153,0.27033487,0.528939311,0.509697665
NOL4 CR,1.48506755,1.060748581,1.456550354,1.219051927,0.58714753,1.070465628,0.658542238,0.663789937,0.822410468,0.447016797,1.177135661,0.785538144,1.0311423,0.874435169
MGAT4C,0.279106348,0.322168565,0.610756159,0.591055916,0.81986864,0.502130824,0.611947477,0.260926769,0.37036803,0.306712579,1.004639069,0.654239448,0.616114287,0.439539017
ACVR2A,0.31343985,0.279672765,0.777908927,0.676919811,0.855567806,1.459111753,0.647207925,0.663329992,0.607355515,0.298823179,0.672429617,0.519291849,0.645651607,0.649524892
Bdnf,0.246054322,0.192688222,0.972932665,0.617331061,0.881754542,0.790668174,0.525856488,0.436517327,0.169050275,0.316481431,0.364460035,1.448854623,0.526684721,0.633756806
Ppp2r5e,0.547522587,0.381263046,1.314948852,0.898267546,1.038835335,0.851730566,0.867793761,0.675166046,0.703112024,0.416014366,0.725373944,0.601455093,0.866264417,0.637316111
Ahdc1,0.568747188,0.392846102,1.375855468,0.917396286,0.877753088,0.692741534,0.66566313,0.483498511,0.662891098,0.430113443,0.990676762,0.731192672,0.856931122,0.607964758
Pcdh10,0.260914941,0.258362199,0.583327891,0.843227002,0.87969438,0.987826364,0.930977271,0.68916165,0.501721717,0.278965078,1.957672505,1.847023469,0.852384784,0.817427627
Gpm6a,0.268284851,0.334927831,0.655774116,0.605905288,0.721152693,1.153721377,0.832942915,0.436853611,0.620706639,0.37492304,0.67234605,0.507225769,0.628534544,0.568926153
Helt,0.63983181,0.394114877,1.456532197,0.840219182,1.432562784,1.443848015,1.148691102,1.201066897,0.412230967,0.237905792,0.947568569,0.763872411,1.006236238,0.813504529
Nacc2,0.616307839,0.654976244,0.954750636,0.886031406,0.548296668,0.986095911,0.496307341,0.462819466,0.289108768,0.271847224,2.344152,1.297431122,0.874820542,0.759866896
D830031N03Rik,0.352241342,0.252309456,0.941471204,0.941904272,1.164623741,1.051182709,0.494207938,0.40400534,1.196459878,0.65708841,1.100019727,0.6605448,0.874837305,0.661172498
Ndp,0.64303769,0.380281372,1.039289585,1.137116647,0.725429527,0.595193664,0.511196071,0.358687517,0.640194212,0.450093632,1.574416446,0.953494025,0.855593922,0.645811143
Eif5,0.724212127,0.488149616,1.888010688,1.312191631,0.599368193,0.400422537,0.582534513,0.315661881,0.34183571,0.181487973,0.514881932,0.737144916,0.775140527,0.572509759
Dlg1,0.79423315,0.95234983,1.268487592,1.159745964,1.137097548,0.805873044,0.706358178,0.447051191,0.927553474,0.425873163,0.508417038,0.716127013,0.89035783,0.751170034
R3hdm1,0.530701766,0.378073682,1.280668747,1.277703417,0.971708186,0.558058374,0.798807801,0.447407768,0.74804531,0.391614693,1.244349791,1.268945101,0.929046934,0.720300506
Plekha7,0.460220962,0.241296026,1.497522413,0.612355937,0.719356203,0.806191237,0.436533379,0.654514682,0.983055735,0.345926485,2.375066103,0.775954591,1.078625799,0.572706493
Cxxc4,0.84165101,0.69172648,1.342907031,1.1681088,0.627059274,0.944537382,0.537973188,0.431633438,0.861994092,0.455553106,1.016000974,0.750801323,0.871264262,0.740393422
EN1,0.500304039,0.725733353,0.737203943,0.515486868,0.489746906,0.346565848,0.315583589,0.176744732,0.173486435,0.297053012,1.286645364,0.407117311,0.583828379,0.411450187
Tsga10,0.912281933,0.479904763,1.391478427,0.718491213,0.237348714,0.821054132,0.211549348,0.572814007,0.262791846,0.176323599,1.000968936,1.166513187,0.669403201,0.65585015
Zc3h6,0.80689613,0.58642797,1.241859404,0.970740985,0.947632531,0.945780626,0.856240706,0.934751694,0.715451299,0.599346212,1.499872312,1.767015019,1.011325397,0.967343751
RUNX2,0.439591747,1.264705104,0.611877022,0.122879794,0.615649718,0.58064419,0.581247592,1.430110591,0.249633494,0.14285297,0.668635929,2.231987299,0.527772584,0.962196658
Pcdh7,0.468985616,0.313880964,1.389208564,1.267917367,0.607706915,0.616220382,0.420727877,0.433392303,0.594333337,0.275897492,1.112932224,1.479020498,0.765649089,0.731054834
Mecom,0.568723617,0.407107236,1.494586217,1.293513382,1.171069608,0.871540479,1.13627774,0.854141509,0.742693623,0.417092685,1.375480155,0.975346119,1.081471827,0.803123568
Pcdh9,0.42907587,0.357024403,0.482043288,0.414810535,0.901566491,0.756624606,0.457787788,0.362304695,0.474326785,0.382040135,1.001768237,1.339170616,0.624428077,0.601995832
B3galt2,0.356014371,0.237340901,1.218319867,0.763291593,0.425679763,1.071918345,0.182873964,0.709858695,0.319529615,0.314699419,1.050001908,0.842323988,0.592069915,0.656572157
NFIB,0.360242087,0.34799023,1.523652263,1,0.3192937,0.370367711,0.380699642,0.237608612,0.245987277,0.20433605,1.961918003,0.561350584,0.798632162,0.453608865
Zfhx4,0.311621701,0.270961921,0.382098693,0.458415896,0.838503076,0.593811505,0.565930915,0.402627574,0.496948091,0.586027355,0.902646358,0.962834592,0.582958139,0.545779807
Trim66,0.356561648,0.228046391,0.9299955,1.191782425,0.878570597,0.431059928,0.672135098,0.364179532,0.756179775,0.472528457,1.421201555,1.341778891,0.835774029,0.671562604
Zbtb38,0.233604377,0.177752902,0.54135478,0.661953322,0.792341919,0.718760332,0.574719937,0.489924102,0.40332137,0.283533236,0.560165468,0.60383897,0.517584642,0.489293811
Tulp4,0.192094536,1.750821872,0.562487085,4.19458989,1.608053644,0.504419257,0.509176716,0.33512436,0.551899289,0.357672075,1.015099967,0.93820416,0.739801873,1.346805269
Sgcz,0.202115091,0.429726128,0.282249495,0.476330973,0.962440246,0.123671727,0.755540178,0.310948258,0.136457846,0.081664247,0.405279245,0.796876587,0.457347017,0.369869653
Grin2b,0.359181139,0.363082429,0.929523217,0.833987018,0.886620429,0.953650465,0.656372684,0.719214773,0.244518678,0.341189806,1.036057407,1.130885376,0.685378926,0.723668311
Bhlhe22,0.479615442,0.431588337,1.143227551,0.619343951,0.600610033,0.514995846,0.533405225,0.369883059,0.528169929,0.494954825,1.024782471,0.62677956,0.718301775,0.50959093
RNF10,0.345398773,0.334464181,0.659356734,0.336971702,0.416296989,0.406379022,0.350207311,0.242052675,0.272943491,0.27321452,2.428315506,0.620284707,0.745419801,0.368894468
Ube3a,0.288469943,0.169483833,0.443944921,0.489976369,0.664927879,0.519838635,0.532583996,0.493556914,0.653934354,0.347251733,1.165158683,0.616451573,0.624836629,0.43942651
TLE4,0.178745687,0.126032093,0.59695385,0.454448383,0.604447102,0.377954941,0.462455999,0.516324469,0.387085887,0.192697795,1.053243132,0.883368272,0.547155276,0.425137659
Fam214b,0.29198959,0.176610471,0.71790496,0.589996833,0.447431967,0.544146202,0.218980157,0.397448523,0.299782991,0.115074807,1.696338201,1.095180982,0.612071311,0.486409636
Asxl3,0.237836684,0.156912549,0.420728724,0.48060582,1.26249485,0.664752905,0.868757661,0.344966551,0.469995701,0.40763748,1.3641671,1.083754671,0.770663453,0.523104996
Hr,0.241982668,0.533089055,0.739287474,0.682614248,0.803514953,0.578253908,0.58989557,0.394187668,0.261880942,0.225174948,1.165475141,1.032568279,0.633672791,0.574314684
Fgf14,0.190955479,0.254458874,0.404177959,0.278359503,0.909046447,0.726769433,0.778040374,0.485603388,0.363643303,0.16340326,1.014512059,0.558398703,0.610062604,0.411165527
Rbms3,0.20134595,0.188243812,0.228030422,0.112214147,0.53821556,0.743758825,0.321347962,0.336579901,0.447083451,0.380910635,1.119462232,0.709994271,0.475914263,0.411950265
