# species: Mus musculus
# support: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
# associations retrieved on: 2014-07-28 14:20:47-04
# gofunc built on: 2013-10-27 21:51:15.890197-04
# gene associations file: ftp://ftp.geneontology.org/pub/go/gene-associations/gene_association.mgi.gz
#   revision: 1.3
#   downloaded on: 2013-10-27 16:13:50-04
# GO DAG files from: http://archive.geneontology.org/latest-full/go_201310-assocdb-tables.tar.gz
#   downloaded on: 2013-10-17 16:47:31-04
# translation required: no
# size of "genespace": 25488
# number of attributes: 17457
# NOTE: the last record consists of all the entities in the
# "genespace" that are not associated with any attribute (for
# the requested support).
# Original number of entities in query: 277
# Number of entities in query: 261
# Total number of entities: 25489
# Original total number of entities: 25488
# Entities not in default gene space: 1
# Total number of attributes: 17457
# Translation required: no
# Mode: unordered
# Number of simulations: 1000
# Adjusted P-value cutoff: 0.05
# Over/under: over
# Evidence codes: EXP, IMP, ISS, ISM, TAS, IEA, IBA, IRD, IDA, IGI, ISO, IGC, NAS, IBD, IPI, IEP, ISA, RCA, IC, IKR
OVERREPRESENTED ATTRIBUTES
N	X	LOD	P	P_adj	attrib ID	attrib name
3	4	2.35739045271038	4.21363017917048e-06	0.02	GO:0071335	hair follicle cell proliferation
4	6	2.24635227110897	1.58590796248028e-07	<0.001	GO:0060510	Type II pneumocyte differentiation
3	5	2.13552448763115	1.04540264220643e-05	0.037	GO:2000794	regulation of epithelial cell proliferation involved in lung morphogenesis
4	13	1.66644814714042	7.14344299769019e-06	0.024	GO:0021542	dentate gyrus development
4	13	1.66644814714042	7.14344299769019e-06	0.024	GO:0060736	prostate gland growth
4	14	1.62296523243535	9.9203523927263e-06	0.03	GO:0035112	genitalia morphogenesis
7	28	1.53846479266449	1.07321810570388e-08	<0.001	GO:0009954	proximal/distal pattern formation
5	21	1.51540728705332	1.92792174820407e-06	0.011	GO:0021871	forebrain regionalization
5	23	1.46568505077036	3.13501929733703e-06	0.014	GO:0021952	central nervous system projection neuron axonogenesis
6	31	1.40044312700935	6.4642367530233e-07	0.002	GO:0021955	central nervous system neuron axonogenesis
6	32	1.38372020164989	7.88797132805649e-07	0.003	GO:0031069	hair follicle morphogenesis
5	27	1.38060534867408	7.27368154809482e-06	0.024	GO:0031641	regulation of myelination
8	46	1.34121702032379	2.02374037096587e-08	<0.001	GO:0021766	hippocampus development
6	37	1.30856935225675	1.93861501054707e-06	0.012	GO:0048730	epidermis morphogenesis
7	43	1.30835187949581	2.5620536413496e-07	<0.001	GO:0060425	lung morphogenesis
5	32	1.29336901709037	1.74002427935151e-05	0.048	GO:0035115	embryonic forelimb morphogenesis
19	124	1.2821505504163	3.56352781577018e-17	<0.001	GO:0048706	embryonic skeletal system development
6	39	1.28180062640561	2.67438817642621e-06	0.013	GO:0060428	lung epithelium development
7	46	1.27399592813023	4.14559643354219e-07	<0.001	GO:0048806	genitalia development
6	40	1.26900910104106	3.11946737559288e-06	0.014	GO:0035136	forelimb morphogenesis
6	41	1.25658260504694	3.62302732857393e-06	0.017	GO:0048701	embryonic cranial skeleton morphogenesis
7	50	1.23203479695863	7.47083381538726e-07	0.003	GO:0030850	prostate gland development
13	94	1.2243445835062	1.45464699177215e-11	<0.001	GO:0048704	embryonic skeletal system morphogenesis
6	46	1.19926973456119	7.23074201458936e-06	0.024	GO:0043589	skin morphogenesis
6	46	1.19926973456119	7.23074201458936e-06	0.024	GO:0048286	lung alveolus development
8	61	1.19806528467477	2.00061962028224e-07	<0.001	GO:0021761	limbic system development
6	47	1.18865941894522	8.21816119944713e-06	0.026	GO:0035272	exocrine system development
13	105	1.16917044919065	6.10212134876892e-11	<0.001	GO:0021543	pallium development
7	58	1.15857885231744	2.09763391905367e-06	0.012	GO:0008543	fibroblast growth factor receptor signaling pathway
