# Expression Atlas version: 0.1.4-SNAPSHOT
# Query: Genes matching: '' exactly, specifically expressed in any Developmental stage above the expression level cutoff: -0.1 in experiment E-MTAB-2812, filtered by Sex: hermaphrodite and Organism part: organism
# Timestamp: Tue, 28-Apr-2015 03:38:09
Gene ID	Gene Name	3-fold embryo Ce	4-cell embryo Ce	L1 larva Ce	L2 larva Ce	L2d-dauer molt Ce	L3 larva Ce	L4 larva Ce	adult Ce	dauer larva Ce	elongating embryo Ce	enclosing embryo Ce	fully-elongated embryo Ce	gastrulating embryo Ce	late cleavage stage embryo Ce	newly molted young adult hermaphrodite Ce	post dauer stage Ce	proliferating embryo Ce
WBGene00000001	aap-1	22	19	35	16	24	13	6	34	32	29	10	19	20	26	30	27	31
WBGene00000002	aat-1	75	0.2	18	16	9	13	5	3	4	82	2	30	3	35	3	5	5
WBGene00000003	aat-2	47	3	25	12	7	19	4	2	3	51	3	39	7	31	4	8	7
WBGene00000004	aat-3	210	5	85	24	25	12	3	8	16	245	40	123	43	262	4	16	31
WBGene00000005	aat-4	4	0.1	0.3	8	0.1	9	7	2	0.1	5	1	3	2	4	10	1	0.6
WBGene00000006	aat-5	11	0.1	26	14	18	12	3	2	14	2	0.3	20	0.6	1	3	17	1
WBGene00000007	aat-6	2	0.2	1	6	1	15	4	2	0.6	0.1	0.1	4	0.3	0.1	6	3	0.3
WBGene00000008	aat-7	0	0	0.1	0.9	2	2	0.7	0.2	4	0	0	0	0	0.1	1	3	0
WBGene00000009	aat-8	4	0	2	0.5	2	0.5	1	0.3	1	0.5	0.1	4	0.2	0.3	0.3	1	0.5
WBGene00000010	aat-9	17	14	16	9	11	10	4	26	12	11	4	18	14	11	15	10	31
WBGene00000012	abf-1	0	0	0.9	0.2	0.8	0.8	1	3	0.4	0.2	0	0.8	1	0.2	3	0.8	0.1
WBGene00000013	abf-2	0	0	12	5	28	1	2	6	57	0	0.1	0.6	0.2	0.1	2	28	0
WBGene00000014	abf-3	0	0	0.4	0	0.2	0	0.1	0	0.1	0	0.5	0	0	0	0	0	0
WBGene00000015	abf-4	0	0	0.1	0.1	0.2	0	0.4	0.2	2	0	0.1	0	0	0	0.6	0.4	0
WBGene00000016	abf-5	0	0.6	35	15	25	17	2	5	22	0	0.2	0.9	0	0.1	5	32	0
WBGene00000017	abf-6	0.4	0	135	16	21	20	2	5	26	0.2	0.3	3	0	0.1	4	23	0
WBGene00000018	abl-1	48	6	12	16	15	11	3	8	11	62	3	43	9	56	4	11	23
WBGene00000019	abt-1	0	0	0.1	0.2	0	1	1	0.4	0	0	0	0.2	0.2	0.3	2	0	0.2
WBGene00000020	abt-2	2	0.8	34	8	7	7	2	3	6	2	0.4	6	1	2	2	5	3
WBGene00000021	abt-3	0	0	0	0	0	0.2	0.5	0	0	0	0.1	0.3	0	0	0.5	0	0
WBGene00000022	abt-4	1	1	10	7	5	15	3	7	2	1	0.3	3	0.4	1	5	5	0.5
WBGene00000023	abt-5	0.2	0.3	0.3	0.4	0	2	3	0.5	0	0.4	0.4	0.5	0.7	0.8	1	0.1	0.9
WBGene00000024	abu-1	0	0	0.1	6	0.1	4	8	0.6	0	0	0	1	0	0	2	0.3	0
WBGene00000025	abu-2	0	0	0.3	0.2	2	0	0.4	0.1	1	0	0.1	0.3	0	0	0	0.2	0
WBGene00000026	abu-3	0	0	0.2	0	0	0	0.1	0.1	0	0	0.2	0	0	0	0.1	0	0
WBGene00000027	abu-4	0.1	0	0	0.3	0	0.2	0.7	0	0	0	0.1	0.4	0	0	0.2	0	0
WBGene00000028	abu-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	0
WBGene00000029	abu-6	0	0	0	1	0	5	3	0.4	0.1	0	0	0	0	0	1	0	0
WBGene00000030	abu-7	0	0	0	2	0.7	3	3	0.3	1	0	0	0.2	0	0	0.9	0.8	0
WBGene00000031	abu-8	1	0	5	20	26	15	11	2	0.8	0.1	0.1	57	0	0.2	3	0.6	0.9
WBGene00000032	abu-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WBGene00000033	abu-10	0.3	0.6	3	13	3	12	9	2	0.2	0	0.1	14	0	0	3	0.2	0.3
WBGene00000034	abu-11	4	0	2	18	18	16	25	3	1	0	0.2	41	0	0.2	4	0.4	1
WBGene00000035	ace-1	27	0.2	9	8	8	4	2	2	4	7	0.1	19	0.5	2	2	6	2
WBGene00000036	ace-2	21	0.1	36	13	18	5	3	3	10	14	2	20	3	8	3	12	2
WBGene00000037	ace-3	64	0.1	33	9	9	2	0.9	0.9	7	21	1	55	1	9	0.9	5	5
WBGene00000038	ace-4	4	0	15	3	2	1	0.4	0.1	2	3	0.4	4	0.3	2	0.3	1	1
WBGene00000039	acn-1	342	0.5	1	214	33	89	33	2	5	303	6	175	8	103	3	4	45
WBGene00000040	aco-1	58	14	154	169	14	207	59	80	14	84	122	54	119	121	96	14	111
WBGene00000041	aco-2	143	103	204	299	242	194	105	188	260	85	11	187	39	50	164	259	92
WBGene00000042	acr-2	3	0	3	3	4	1	0.9	0.2	3	0.3	0.1	5	0.2	0.3	0.7	3	0.1
WBGene00000043	acr-3	1	0	3	2	0.8	1	1	0.2	1	0	0.2	5	0.1	0	0.7	1	0.5
WBGene00000044	acr-5	0.5	0.2	7	3	8	0.7	2	0.2	4	0.1	3	3	3	0.4	0.6	3	0.9
WBGene00000045	acr-6	0.2	0	0.7	0.5	0.5	0.3	0.2	0.1	0.9	0.1	0.1	1	0	0.1	0.2	0.4	0
WBGene00000046	acr-7	6	0	2	1	0.8	1	0.9	0	0.8	6	3	8	0.9	4	0.7	0.9	1
WBGene00000047	acr-8	37	0.2	6	10	4	4	2	0.2	2	8	0.2	31	0.5	2	1	3	0.8
WBGene00000048	acr-9	5	0.2	2	2	0.9	0.4	0.5	0.1	0.6	0.1	0.1	7	0.3	0.3	0.5	0.4	1
WBGene00000049	acr-10	1	0	2	0.6	0.2	0.4	0.3	0.1	0.4	0	0.1	4	0.3	0.2	0.3	0.2	0.5
WBGene00000050	acr-11	4	0.3	2	1	1	1	1	0.3	1	2	0.1	7	0.6	0.7	1	2	1
WBGene00000051	acr-12	9	0.2	5	4	4	2	0.9	0.5	3	2	0.5	10	0.7	0.8	0.9	4	1
WBGene00000053	acr-14	3	0.1	3	0.9	2	0.6	0.7	0	2	1	0.4	4	0.4	0.8	0.4	1	0.5
WBGene00000054	acr-15	5	0.7	5	3	6	4	2	0.6	5	3	0	7	0.2	1	2	5	0.1
WBGene00000055	acr-16	4	0.8	6	5	5	4	2	0.8	2	1	0.9	7	3	2	2	4	3
WBGene00000056	acr-17	0.4	0.4	3	1	3	0.8	0.6	0.8	2	0.2	0.8	1	2	0.8	0.8	2	2
WBGene00000057	acr-18	0.3	0.4	4	2	6	1	1	0.6	4	0	0.1	1	0.2	0.1	3	2	0.5
WBGene00000058	acr-19	4	0	12	3	4	1	0.6	0.2	4	2	0.1	5	0.6	0.9	0.6	3	0.7
WBGene00000059	acr-20	1	0.5	5	2	4	1	1	0.4	3	0.3	0.5	4	0.7	0.7	0.7	4	2
WBGene00000060	acr-21	0.4	0	2	3	9	1	1	0.2	8	0.2	0	2	0.6	0.4	0.5	5	0.7
WBGene00000061	lgc-11	1	0.2	7	0.8	2	1	0.3	0	1	1	0.1	4	0.1	1	0.4	1	0.1
WBGene00000062	acr-23	1	0	4	3	5	0.9	0.7	0	4	0.1	0.1	2	0.1	0.3	0.1	3	0.4
WBGene00000063	act-1	306	23	42	309	445	401	260	127	94	151	59	333	124	116	170	60	168
WBGene00000064	act-2	499	398	94	209	160	374	284	1020	155	396	375	309	684	391	515	162	2297
WBGene00000065	act-3	416	29	82	454	467	769	203	123	117	205	44	435	145	177	147	53	207
WBGene00000066	act-4	2142	23	886	1363	2340	1835	1134	927	367	2046	432	1941	272	2331	519	374	397
WBGene00000067	act-5	355	6	110	956	149	1292	607	357	43	118	16	443	18	59	735	347	56
WBGene00000068	acy-1	38	0.6	27	18	27	9	2	2	19	16	0.4	37	0.7	6	3	12	4
WBGene00000069	acy-2	3	0.1	12	2	3	1	0.5	0.1	5	1	0.1	4	0.2	0.6	0.8	3	1
